Model,CV_Mean,CV_Std,Train_Accuracy,Test_Accuracy,Precision,Recall,F1_Score,Specificity,ROC_AUC,PR_AUC
Naive Bayes,0.9516728624535314,0.00622052064337604,0.9535315985130112,0.9895493141737427,0.9895715783551704,0.9895493141737427,0.989071386448511,0.9944281960318068,0.9997468491123706,0.9980437564559587
SVM (RBF),0.9773234200743495,0.008749890182854866,0.9925650557620818,0.986718920095798,0.9870123838852699,0.986718920095798,0.98489150723903,0.9941583208515684,0.9996824495021641,0.9971029917542503
Keras 1D CNN,0.9769516706466674,0.004789631373827403,0.995539033457249,0.9851948617461355,0.9853816606826078,0.9851948617461355,0.9847799743654715,0.9944691745007006,0.9993386666481182,0.9969548671009001
K-Nearest Neighbors,0.9698884758364311,0.00817843866171001,0.9825278810408922,0.9858480296102765,0.9860263294776754,0.9858480296102765,0.9846991328663397,0.9932504178582161,0.995201397204258,0.9879849352474991
Neural Network,0.9762081784386616,0.005563802805611827,1.0,0.9834530807750925,0.9838378455159031,0.9834530807750925,0.9822974348827949,0.9930953226266863,0.9991141979396484,0.9967427932730327
Keras MLP,0.9776951789855957,0.0061084173740586995,1.0,0.9827999129109515,0.983289106675506,0.9827999129109515,0.9816500703168897,0.9927137571016788,0.9982755500686605,0.9924144890502647
Logistic Regression,0.9765799256505575,0.008279203513501872,0.9881040892193309,0.9821467450468103,0.9826202456364297,0.9821467450468103,0.9809256553930971,0.9925954349889929,0.9988102596498185,0.9959886065362937
Random Forest,0.9769516728624537,0.0043352802192158525,1.0,0.9806226866971478,0.9811134023171587,0.9806226866971478,0.9778968847119434,0.9917163559434159,0.9980832063221,0.9937214702595105
Gradient Boosting,0.97546468401487,0.004303285093974055,1.0,0.9786631831047246,0.9792008089428654,0.9786631831047246,0.9775821396378032,0.9911142998807377,0.9917294574303726,0.9871232786889194
Decision Tree,0.9672862453531599,0.004789627779451718,1.0,0.9701720008708905,0.9705860696875405,0.9701720008708905,0.9682697038566181,0.9895373504338243,0.9798546756523575,0.9457896408868414
AdaBoost,0.9152416356877323,0.05341530118138909,0.9520446096654275,0.9451338994121489,0.942949667898123,0.9451338994121489,0.9289543429924001,0.9775675335166235,0.981493516433016,0.9472058642015941
