Model,Cell_Type,Precision,Recall,F1_Score,Specificity
Naive Bayes,CD14+ Monocytes,0.9779785431959345,1.0,0.9888666856979732,0.9863684026564138
Naive Bayes,CD4+ T,0.998390989541432,0.9935948759007206,0.9959871589085072,0.9994019138755981
Naive Bayes,Dendritic,1.0,0.87248322147651,0.931899641577061,1.0
Naive Bayes,NK,0.9954699886749717,0.9920993227990971,0.9937817976257772,0.9989209603452927
Naive Bayes,Naive B,0.9963702359346642,0.9963702359346642,0.9963702359346642,0.9995051954477981
Naive Bayes,Platelets,0.9333333333333333,0.5384615384615384,0.6829268292682927,0.9997810378804467
SVM (RBF),CD14+ Monocytes,0.9807474518686297,1.0,0.9902801600914809,0.988116043341489
SVM (RBF),CD4+ T,1.0,0.9831865492393915,0.991522002422285,1.0
SVM (RBF),Dendritic,1.0,0.8791946308724832,0.9357142857142857,1.0
SVM (RBF),NK,0.9725576289791438,1.0,0.9860879243183083,0.9932560021580793
SVM (RBF),Naive B,0.9963833634719711,1.0,0.9981884057971014,0.9995051954477981
SVM (RBF),Platelets,1.0,0.15384615384615385,0.26666666666666666,1.0
Keras 1D CNN,CD14+ Monocytes,0.9852020489470689,0.9994226327944573,0.9922613929492692,0.9909122684376093
Keras 1D CNN,CD4+ T,0.9983484723369116,0.9679743795036029,0.9829268292682927,0.9994019138755981
Keras 1D CNN,Dendritic,0.9927007299270073,0.912751677852349,0.951048951048951,0.9997749774977498
Keras 1D CNN,NK,0.9609120521172638,0.9988713318284425,0.9795240730492529,0.9902886431076342
Keras 1D CNN,Naive B,0.9963768115942029,0.9981851179673321,0.9972801450589301,0.9995051954477981
Keras 1D CNN,Platelets,0.9333333333333333,0.5384615384615384,0.6829268292682927,0.9997810378804467
