Model,Cell_Type,Precision,Recall,F1_Score,Specificity
Keras 1D CNN,CD14+ Monocytes,0.9766224703419399,0.998572957545487,0.9874757452813547,0.9885096895901218
Keras 1D CNN,CD4+ T,0.972411655300682,0.986167871738447,0.9792414546589667,0.9836787089675408
Keras 1D CNN,Dendritic,0.9941520467836257,0.748898678414097,0.8542713567839196,0.9998810515046984
Keras 1D CNN,NK,0.9661971830985916,0.9423076923076923,0.9541029207232267,0.9933129005293954
Keras 1D CNN,Naive B,0.9926393270241851,0.9762150982419855,0.9843587069864442,0.9990869962175558
Logistic Regression,CD14+ Monocytes,0.9746175243393602,1.0,0.9871456242296179,0.9874807065683416
Logistic Regression,CD4+ T,0.9703245749613602,0.9867966048412449,0.9784912718204489,0.982395011920044
Logistic Regression,Dendritic,0.9939759036144579,0.7268722466960352,0.8396946564885496,0.9998810515046984
Logistic Regression,NK,0.9673527324343506,0.9361263736263736,0.9514834205933682,0.9935915296740039
Logistic Regression,Naive B,0.9968354430379747,0.9772492244053774,0.9869451697127938,0.9996087126646668
Neural Network,CD14+ Monocytes,0.9725789656369316,0.9996432393863718,0.9859254046446164,0.9864517235465615
Neural Network,CD4+ T,0.9668610003068426,0.9905690034580321,0.9785714285714285,0.9801943884100495
Neural Network,Dendritic,0.9881656804733728,0.73568281938326,0.8434343434343434,0.9997621030093969
Neural Network,NK,0.9706513958482462,0.9313186813186813,0.9505783385909569,0.9942881025355252
Neural Network,Naive B,0.9967672413793104,0.9565667011375388,0.9762532981530343,0.9996087126646668
