Model,Cell_Type,Precision,Recall,F1_Score,Specificity
Logistic Regression,CD14+ Monocytes,0.9798994974874372,1.0,0.9898477157360406,0.9934640522875817
Logistic Regression,CD4+ T,0.975609756097561,0.989010989010989,0.9822646657571623,0.9796839729119639
Logistic Regression,Dendritic,1.0,0.6363636363636364,0.7777777777777778,1.0
Logistic Regression,NK,0.975609756097561,0.9302325581395349,0.9523809523809523,0.995575221238938
Logistic Regression,Naive B,0.9904761904761905,1.0,0.9952153110047847,0.9985775248933144
Logistic Regression,Platelets,1.0,1.0,1.0,1.0
Keras MLP,CD14+ Monocytes,0.9798994974874372,1.0,0.9898477157360406,0.9934640522875817
Keras MLP,CD4+ T,0.9915492957746479,0.967032967032967,0.9791376912378303,0.9932279909706546
Keras MLP,Dendritic,1.0,0.6363636363636364,0.7777777777777778,1.0
Keras MLP,NK,0.9197080291970803,0.9767441860465116,0.9473684210526315,0.9837758112094396
Keras MLP,Naive B,0.9904761904761905,1.0,0.9952153110047847,0.9985775248933144
Keras MLP,Platelets,1.0,1.0,1.0,1.0
SVM (RBF),CD14+ Monocytes,0.975,1.0,0.9873417721518988,0.9918300653594772
SVM (RBF),CD4+ T,0.975609756097561,0.989010989010989,0.9822646657571623,0.9796839729119639
SVM (RBF),Dendritic,1.0,0.5454545454545454,0.7058823529411765,1.0
SVM (RBF),NK,0.967741935483871,0.9302325581395349,0.9486166007905138,0.9941002949852508
SVM (RBF),Naive B,0.9904761904761905,1.0,0.9952153110047847,0.9985775248933144
SVM (RBF),Platelets,1.0,0.75,0.8571428571428571,1.0
